NAME,NAME1,NAME2,province,Population,Dct_nur
北京市,北京,CN-11,Beijing,2115,15.46
天津市,天津,CN-12,Tianjin,1472,8.05
河北省,河北,CN-13,Hebei,7333,4.44
山西省,山西,CN-14,Shanxi,3630,5.77
内蒙古自治区,内蒙古,CN-15,Neimenggu,2498,6.01
辽宁省,辽宁,CN-21,Liaoning,4390,6.01
吉林省,吉林,CN-22,Jilin,2751,5.45
黑龙江省,黑龙江,CN-23,Heilongjiang,3835,5.49
上海市,上海,CN-31,Shanghai,2415,10.97
江苏省,江苏,CN-32,Jiangsu,7939,5.63
浙江省,浙江,CN-33,Zhejiang,5498,7.3
安徽省,安徽,CN-34,Anhui,6030,3.66
福建省,福建,CN-35,Fujian,3774,5.44
江西省,江西,CN-36,Jiangxi,4522,3.94
山东省,山东,CN-37,Shandong,9733,6.21
河南省,河南,CN-41,Henan,9413,4.24
湖北省,湖北,CN-42,Hubei,5799,5.01
湖南省,湖南,CN-43,Hunan,6691,4.52
广东省,广东,CN-44,Guangdong,10644,6.32
广西壮族自治区,广西,CN-45,Guangxi,4719,4.44
海南省,海南,CN-46,Hainan,895,5.29
重庆市,重庆,CN-50,Chongqing,2970,4.23
四川省,四川,CN-51,Sichuan,8107,4.68
贵州省,贵州,CN-52,Guizhou,3502,3.64
云南省,云南,CN-53,Yunnan,4687,4.2
西藏自治区,西藏,CN-54,Tibet,312,3.67
陕西省,陕西,CN-61,Shaanxi,3764,6.04
甘肃省,甘肃,CN-62,Gansu,2582,4.33
青海省,青海,CN-63,Qinghai,578,5.66
宁夏回族自治区,宁夏,CN-64,Ningxia,654,5.58
新疆维吾尔自治区,新疆,CN-65,Xinjiang,2264,6.43
澳门特别行政区,澳门,,,,
台湾省,台湾,TW,,,
香港特别行政区,香港,,,,
